cve_ent,cve_mun,cve_loc,nomloc
01,001,0239,General José María Morelos y Pavón (Cañada Honda)
01,001,1025,Pocitos
02,005,0001,Playas de Rosarito
05,035,0001,Torreón
07,027,0622,Jardines del Grijalva
07,101,0001,Tuxtla Gutiérrez
08,019,0001,Chihuahua
08,045,0015,Lázaro Cárdenas
09,009,0011,San Antonio Tecómitl
09,009,0300,San Nicolás Tetelco
09,011,0026,Santa Catarina Yecahuitzotl
09,012,0001,Tlalpan
09,013,0001,Xochimilco
11,011,0054,Tierra Fría
11,031,0061,San Cristóbal (El Cerrito)
12,001,0001,Acapulco de Juárez
12,075,0001,Zumpango del Río
13,003,0012,El Daxtha
13,009,0005,El Jiadi
13,013,0029,Paseos de la Pradera
13,051,0092,Bosques del Mineral
13,051,0101,Guadalupe Minerva
13,051,0151,Hacienda Margarita
13,051,0152,Praderas de Virreyes
13,055,0017,Yolotepec
13,056,0001,Santiago Tulantepec
13,070,0002,Munitepec de Madero
13,074,0003,Teltipán de Juárez
15,013,0001,Ciudad López Mateos
15,024,0112,Barrio Tlatenco
16,020,0001,Cuitzeo del Porvenir
16,075,0001,Los Reyes de Salgado
16,084,0004,La Cantera
16,108,0020,La Sauceda
18,010,0035,San Vicente
18,011,0001,Ruiz
18,017,0001,Tepic
18,017,0151,San Cayetano
19,021,0001,Ciudad General Escobedo
19,026,0001,Guadalupe
19,041,0456,Valle de Santa María
19,045,0551,Valle del Norte
20,007,0001,Asunción Ocotlán
20,012,0001,Candelaria Loxicha
20,021,0001,Cosolapa
20,028,0001,Heroica Ciudad de Ejutla de Crespo
20,040,0001,Huautepec
20,043,0001,Juchitán de Zaragoza
20,059,0001,Miahuatlán de Porfirio Díaz
20,062,0001,Natividad
20,067,0001,Oaxaca de Juárez
20,073,0001,Putla Villa de Guerrero
20,091,0001,San Andrés Huayápam
20,092,0001,San Andrés Ixtlahuaca
20,103,0001,San Antonino Castillo Velasco
20,107,0001,San Antonio de la Cal
20,124,0001,San Blas Atempa
20,128,0001,San Cristóbal Lachirioag
20,132,0001,San Dionisio Ocotlán
20,149,0001,San Francisco Sola
20,150,0001,San Francisco Telixtlahuaca
20,155,0001,San Ildefonso Sola
20,157,0001,San Jacinto Amilpas
20,167,0001,San José del Peñasco
20,179,0001,San Juan Bautista Jayacatlán
20,190,0013,María Lombardo de Caso
20,193,0001,San Juan del Estado
20,216,0001,San Juan Tabaá
20,227,0001,San Lorenzo Cacaotepec
20,268,0001,San Miguel Ejutla
20,277,0001,Villa Sola de Vega
20,294,0001,San Pablo Huitzo
20,303,0001,San Pedro Cajonos
20,337,0001,San Pedro y San Pablo Ayutla
20,338,0001,Villa de Etla
20,365,0001,Santa Catarina Lachatao
20,385,0001,Santa Cruz Xoxocotlán
20,385,0009,San Juan Bautista la Raya
20,390,0001,Santa Lucía del Camino
20,390,0003,San Francisco Tutla
20,392,0001,Santa Lucía Monteverde
20,399,0001,Santa María Atzompa
20,427,0010,Rincón Viejo
20,481,0001,Santiago Nuyoó
20,515,0001,Santo Domingo Tehuantepec
20,533,0001,Santo Tomás Tamazulapan
20,553,0001,Tlalixtac de Cabrera
21,041,0008,Sanctorum
21,071,0038,Xaltepec
21,115,0009,Palmarito Tochapan
21,188,0002,San Antonio Alpanocan
22,008,0116,Cumbres del Cimatario
22,011,0047,Palo Alto
22,016,0039,El Organal
25,001,0156,Gustavo Díaz Ordaz (El Carrizo)
25,002,0031,Colonia Independencia (Chinitos)
25,002,0032,Colonia Agrícola México (Palmitas)
25,012,0348,Villa Unión
26,017,0001,Heroica Caborca
28,009,0001,Ciudad Madero
29,002,0003,San Matías Tepetomatitlán
29,010,0001,Santa Ana Chiautempan
30,048,0286,Fraccionamiento los Mangos
30,087,0001,Xalapa-Enríquez
30,128,0007,La Gloria
31,011,0001,Celestún
31,041,0001,Kanasín
31,063,0001,Samahil
31,076,0001,Tecoh
31,099,0001,Uayma
31,102,0174,Xocén
32,017,0001,Guadalupe
32,056,0001,Zacatecas
