,,APFF,APRN,MN,Ninguna,PN,RB,SANT
1,POB_AFRO,1.64,0.96,1.35,2.81,2.25,1.94,21.25
2,P5_HLI,8.81,7.31,40.13,21.25,6.37,15.24,11.91
3,POBTOT,113916.84,52968.34,150335.47,28809.56,121364.85,46410.92,27180.4
4,REL_H_M,98.74,96.91,91.99,95.36,94.24,95.2,99.36
5,PRES2015,88.68,87.84,88.66,88.48,88.37,87.75,86.58
6,HOGJEF_M,21558.23,10096.93,31430.35,5421.24,22436.16,8940.11,5119.2
7,PCON_DISC,5.75,6.03,5.92,6.61,4.92,6.78,6.27
8,POBFEM,50.35,50.81,52.21,51.24,51.5,51.28,50.18
9,PDER_SS,75.13,78.15,62.54,76.42,71.72,76,76.38
10,VPH_DRENAJ,66.1,65.53,65.14,59.09,73.04,62.15,63.87
11,VIVTOT,39579.45,18594.8,51977.35,10137.7,41465.08,16527.4,9669.87
12,GRAPROES,8.53,8.27,8.02,7.51,8.99,7.59,7.34
13,PEA,44.94,42.05,47.98,41.11,47.02,43.23,42.81
14,SUPERFICIE,2212.53,1323.48,849.39,551.46,460.5,1187,1093.21
15,SUPERFICIEANPS,1489.15,14251.28,26.01,0,239.39,4926.28,1.99
16,ANTIGUEDAD,39.42,71.75,22.39,0,71.71,21.47,33.2
17,presupuesto,658.82,1035.04,136.2,0,639.49,906.97,58.26
18,SINAP,0.36,0.09,0.06,0,0.05,0.96,0
19,mar_litoral,0.23,0,0,0,0.07,0.16,1
20,P_MIN,749.22,795.76,601.18,947.74,817.92,919.75,1028.67
21,P_MAX,938.55,992.15,776.47,1170.37,1022.71,1151.16,1273.33
22,ELEVACION,1376.54,1574.73,1404.76,1270.39,1903.31,1206.38,272.13
23,INT_ECOS,59.87,61.03,50.02,54.79,46.56,60.2,58.63
24,DENSIDADP,352.17,80.89,1082.36,161.34,1277.4,86.32,40.82
25,IM_2020,55.46,55.19,54.9,53.29,56.07,53.56,51.8
26,IMN_2020,0.87,0.86,0.86,0.83,0.88,0.84,0.81
27,ING_MEDIO_MUN,3745.93,3247.24,4780.34,2525.18,4223.06,2607.46,4830.36
28,COBERTURA,1.83,1.78,1.71,1.6,1.88,1.74,1.73
29,div_et,96.05,96.57,75.38,86.12,97.38,92.09,81.09
30,PREC_MED,843.89,893.96,688.82,1059.05,920.32,1026.3,1151
